trimestre,div_01,div_02,div_03,div_04,div_05,div_06,div_07,div_08,div_09,div_10,div_11,div_12,nivel_general
2022Q3,916.7677881431978,697.7057013320301,1123.7886466976297,620.7296630854021,920.1363934590045,906.7375696014059,835.3143518800894,606.6365093587902,844.0959704105583,757.9800899114465,903.1649488533892,754.527225821761,857.9189310183368
2022Q4,1086.1366070025858,848.719280342773,1378.26274693246,753.4961665115726,1084.0459031998919,1059.5938654826914,985.6552519129741,741.4621850302761,970.8112269527031,899.4895333862495,1083.4425601086314,909.3292672172598,1021.2997319709865
2023Q1,1337.3108209136242,1032.3577781078177,1553.167451171747,908.0711929089081,1271.107162250824,1235.144312991111,1162.9913618865148,878.5993904461897,1169.6081923390811,1057.449078592007,1314.5462856009467,1101.1911347125417,1220.1844859180396
2023Q2,1694.8647317525931,1224.49763409333,2013.1290066675924,1137.0693474453333,1587.520856424962,1508.9318446659067,1424.1141068748307,1051.0976309253997,1421.2838236054554,1374.8931092363891,1665.8107267071703,1340.0619858231078,1526.329402712148
2023Q3,2155.2206472224284,1530.8516465528667,2422.3074302613268,1411.795708122233,2076.9238860466735,2010.7588455984028,1741.0739117484088,1375.8996189513566,1934.5114231600467,1719.8571512748902,2169.352814668788,1683.3411737543106,1943.4877877554484
2023Q4,3252.141542437447,2136.33825039485,3437.5767452449645,1813.5179736872615,3103.96038692695,2885.409895199757,2378.1475446710224,1948.1559291975032,2807.7932760202766,2197.358996989822,3111.4646792458107,2370.6411668598707,2783.584587785764
2024Q1,5433.428559403687,3522.150667452374,4760.4038085348,2665.212541632593,4987.753547728836,4957.829414676639,4612.073608718985,3448.6841264870664,4451.263303574096,3055.689323716814,4773.53805751586,4741.085954422943,4554.044167944296
2024Q2,6694.655131589643,4458.746923842238,5901.730574377437,4563.867483809112,5802.334341804757,6227.579457208166,5891.606084985714,4997.423534481956,5454.194819213995,4711.879818513363,5922.267863170817,5737.483657772838,5818.23001937799
2024Q3,7351.627790719829,5070.574987982823,6303.67418753533,5521.125889441379,6368.371502727605,7084.26371849629,6603.481159411871,5743.9101357698955,6237.183877017276,5449.910936180014,7056.839615594646,6307.256638303262,6567.37371388786
2024Q4,7723.292412467674,5593.886107504628,7063.971392607772,6456.428135016497,6813.2362202964405,7849.8609251023,7295.3422215509745,6236.410887635608,6797.391492585777,6067.263839080757,7934.854360414665,6877.964280388846,7199.8660818371645
2025Q1,8351.550106294011,5971.662235083129,7159.524783959844,7153.072931843177,7062.432828834658,8425.827414095907,7668.340589581016,6820.022850516695,7364.2655007494695,6670.192972135139,8917.64168701491,7516.5948522585695,7759.321089509359
2025Q2,9079.989995479653,6301.6655088655625,7791.332499561984,7753.320988466635,7358.225024554372,9046.89091334697,8010.739988814697,7433.203599033891,7768.302091861267,7689.042897156416,9844.82183077595,8186.249985970615,8373.619823998779
2025Q3,9488.293940132873,6651.131818450398,7736.767635054312,8274.676542560024,7723.206774771648,9535.3870305063,8701.121563851268,7988.026143223442,8403.425165478686,8216.44666710991,10585.147998095392,8716.291272441,8857.106783195808
2025Q4,10168.922856280918,7088.209272948815,8173.4272542344615,8986.493963861498,8155.557834587019,10102.389792177524,9596.437000053893,8599.302361633456,8874.146270021003,8732.974536223748,11297.635355273624,9374.950191681457,9492.784187508552
2026Q1,11297.67001339398,7421.945968217162,8225.922161985474,9998.812730878773,8647.768641929533,10839.292224213423,10368.83747392866,9450.414874849239,9387.823614448238,9250.828578693943,12504.026027525275,10236.150946542437,10307.194713155004
