indice_tiempo,IPC oficial publicado,IPC promedio (canasta 2017/18 overall),Obreros formales (sec.),Asalariados informales jóvenes,Trabajadores mayores con primario,Profesionales asalariadas,Cuentapropistas y patrones
2023-02-01,1243.665867164135,1212.7678398787496,1213.5470051798836,1220.8802392209716,1222.0408577612232,1202.20050040134,1217.3632794582616
2023-03-01,1340.8935674592599,1304.6154337184762,1305.993540790584,1315.0052660420213,1315.1844142127431,1293.821514095575,1309.603501902513
2023-04-01,1456.0202540641378,1416.7493855783846,1418.9352071225012,1429.905420071111,1429.7396175609795,1402.868918768489,1421.890933317329
2023-05-01,1571.8117122185702,1529.3987334201895,1531.8549380274385,1542.1378658703466,1541.559301152516,1516.8783175746303,1534.443241144626
2023-06-01,1663.3217849634302,1617.675503034036,1619.1723677874738,1628.466958552231,1627.6856159010267,1607.4663998473575,1623.1167077864588
2023-07-01,1766.2368106758265,1716.9818780027117,1717.4429793163292,1726.626776352873,1726.894925310277,1706.5676749368013,1722.9647227315834
2023-08-01,1982.7740763771678,1925.1502706541025,1922.0139690943874,1936.754558788758,1937.5876216369434,1907.4003437834515,1932.3566658437553
2023-09-01,2224.2737852003197,2153.903708603328,2152.870967545359,2169.962048017939,2170.421843508455,2133.6597278208646,2161.9051384237714
2023-10-01,2415.844955731249,2342.5140101588904,2342.5278126679245,2361.553176100065,2361.5381826513067,2319.604775540791,2349.5493650198496
2023-11-01,2727.621331911995,2641.543446413469,2637.8444929122497,2664.536260656607,2667.7546817800267,2605.316078922814,2651.7936950234134
2023-12-01,3411.845074176068,3296.971442605831,3285.7129570151287,3328.1640606225014,3337.778798853135,3234.7285841203898,3316.5440190936947
2024-01-01,4078.9227443664686,3944.030906624315,3927.403888033235,3978.030641527824,3993.9596200041033,3869.3114789486854,3972.4947116980848
2024-02-01,4689.69678126203,4573.237838372992,4561.627634036266,4605.589550681479,4629.607286393947,4494.19982766047,4611.6845899964455
2024-03-01,5228.176542003494,5108.6830238285465,5099.385659767249,5141.641549548445,5166.220513398679,5032.272651680989,5151.458534089917
2024-04-01,5710.589855201209,5649.728561669346,5637.144667993413,5680.139276355507,5695.069654905989,5571.396093491213,5675.690669608015
2024-05-01,5956.178476602213,5899.876091241955,5892.016225973119,5936.402310195033,5952.05207386111,5819.556447635514,5926.579275962942
2024-06-01,6215.486660152201,6168.867714750681,6159.710495271753,6199.850982642694,6211.759609189655,6096.805147213184,6191.145794403787
2024-07-01,6466.417932545675,6408.252206789189,6393.519777340484,6437.383171975744,6450.032233242553,6333.141254482651,6430.527033914032
2024-08-01,6733.983891504545,6675.747895256862,6661.484682589345,6700.477133776973,6712.954066645639,6607.6111877509675,6700.147217331671
2024-09-01,6984.336659658682,6927.447792016406,6916.2124996739285,6951.941698339016,6960.849504379546,6865.271360936493,6949.804825569008
2024-10-01,7181.313553048473,7114.669844015781,7101.703952803476,7135.621978197185,7141.973653784413,7058.9692418382665,7134.928164541256
2024-11-01,7368.123241834709,7296.610264525293,7284.46635976411,7312.164892115903,7317.724166535403,7251.424732261928,7317.926424023709
2024-12-01,7579.258831541855,7517.108038699209,7505.35990301427,7531.261203638318,7535.07799516284,7474.147317781074,7534.691737069326
2025-01-01,7732.618420143515,7661.253586658415,7644.590217984479,7673.401158649927,7677.044081902803,7618.520489145141,7679.195345234028
2025-02-01,7905.428918302685,7847.646130789652,7829.263734866987,7862.480573887075,7865.8652855831915,7797.492103741868,7863.927024046748
2025-03-01,8210.126045028772,8152.063820042853,8135.103713022012,8178.470878773155,8175.919796418651,8096.696833375528,8167.507589788899
2025-04-01,8436.541115157976,8362.782063993798,8346.687821928863,8392.257636273616,8389.416392855765,8304.988572005317,8379.01731950914
2025-05-01,8563.160502600851,8489.615571234579,8470.46129393364,8514.293711163744,8508.64837928985,8438.760667590948,8503.71220730087
