indice_tiempo,Obreros formales (sec.),Asalariados informales jóvenes,Trabajadores mayores con primario,Profesionales asalariadas,Cuentapropistas y patrones,IPC oficial
2022-04-01,680.9997477901375,683.3385703856086,684.0205618234143,675.5480832755958,682.6665053212441,693.7204504851302
2022-05-01,711.7397463872778,714.0744108671971,714.9918754502943,706.2712351189502,713.9290172121875,726.820546228026
2022-06-01,748.5170934029284,751.5502802051109,752.4298307140737,743.0597466623954,751.4080814162666,766.6045818404351
2022-07-01,799.4972926809755,802.5178566649383,803.1337448836896,795.5616979651641,802.8730148566436,823.0823290199678
2022-08-01,854.2599470948485,857.6185063285801,858.289453868184,849.5910112456057,857.83303061641,880.2927561122463
2022-09-01,905.5583996448358,909.5218955367565,910.4640026127258,898.7264504012594,908.7183022144359,933.427694372884
2022-10-01,965.915004717861,970.301965351995,970.9611255489833,958.6628428610925,968.8592198134484,994.5688115049402
2022-11-01,1017.2151554259231,1020.9078631456179,1021.1007471123353,1010.8054126851034,1019.3690559922347,1044.2910584031665
2022-12-01,1068.544695688051,1072.9490266770601,1073.112150974156,1062.333936769571,1071.608666451743,1100.0916960311115
2023-01-01,1136.0649030864895,1140.856014571347,1141.6629452006132,1128.5605974620805,1139.365675932031,1165.6618597810746
2023-02-01,1213.5470051798836,1220.8802392209716,1222.0408577612232,1202.20050040134,1217.3632794582616,1243.665867164135
2023-03-01,1305.993540790584,1315.0052660420213,1315.1844142127431,1293.821514095575,1309.603501902513,1340.8935674592599
2023-04-01,1418.9352071225012,1429.905420071111,1429.7396175609795,1402.868918768489,1421.890933317329,1456.0202540641378
2023-05-01,1531.8549380274385,1542.1378658703466,1541.559301152516,1516.8783175746303,1534.443241144626,1571.8117122185702
2023-06-01,1619.1723677874738,1628.466958552231,1627.6856159010267,1607.4663998473575,1623.1167077864588,1663.3217849634302
2023-07-01,1717.4429793163292,1726.626776352873,1726.894925310277,1706.5676749368013,1722.9647227315834,1766.2368106758265
2023-08-01,1922.0139690943874,1936.754558788758,1937.5876216369434,1907.4003437834515,1932.3566658437553,1982.7740763771678
2023-09-01,2152.870967545359,2169.962048017939,2170.421843508455,2133.6597278208646,2161.9051384237714,2224.2737852003197
2023-10-01,2342.5278126679245,2361.553176100065,2361.5381826513067,2319.604775540791,2349.5493650198496,2415.844955731249
2023-11-01,2637.8444929122497,2664.536260656607,2667.7546817800267,2605.316078922814,2651.7936950234134,2727.621331911995
2023-12-01,3285.7129570151287,3328.1640606225014,3337.778798853135,3234.7285841203898,3316.5440190936947,3411.845074176068
2024-01-01,3927.403888033235,3978.030641527824,3993.9596200041033,3869.3114789486854,3972.4947116980848,4078.9227443664686
2024-02-01,4561.627634036266,4605.589550681479,4629.607286393947,4494.19982766047,4611.6845899964455,4689.69678126203
2024-03-01,5099.385659767249,5141.641549548445,5166.220513398679,5032.272651680989,5151.458534089917,5228.176542003494
2024-04-01,5637.144667993413,5680.139276355507,5695.069654905989,5571.396093491213,5675.690669608015,5710.589855201209
2024-05-01,5892.016225973119,5936.402310195033,5952.05207386111,5819.556447635514,5926.579275962942,5956.178476602213
2024-06-01,6159.710495271753,6199.850982642694,6211.759609189655,6096.805147213184,6191.145794403787,6215.486660152201
2024-07-01,6393.519777340484,6437.383171975744,6450.032233242553,6333.141254482651,6430.527033914032,6466.417932545675
2024-08-01,6661.484682589345,6700.477133776973,6712.954066645639,6607.6111877509675,6700.147217331671,6733.983891504545
2024-09-01,6916.2124996739285,6951.941698339016,6960.849504379546,6865.271360936493,6949.804825569008,6984.336659658682
2024-10-01,7101.703952803476,7135.621978197185,7141.973653784413,7058.9692418382665,7134.928164541256,7181.313553048473
2024-11-01,7284.46635976411,7312.164892115903,7317.724166535403,7251.424732261928,7317.926424023709,7368.123241834709
2024-12-01,7505.35990301427,7531.261203638318,7535.07799516284,7474.147317781074,7534.691737069326,7579.258831541855
2025-01-01,7644.590217984479,7673.401158649927,7677.044081902803,7618.520489145141,7679.195345234028,7732.618420143515
2025-02-01,7829.263734866987,7862.480573887075,7865.8652855831915,7797.492103741868,7863.927024046748,7905.428918302685
2025-03-01,8135.103713022012,8178.470878773155,8175.919796418651,8096.696833375528,8167.507589788899,8210.126045028772
2025-04-01,8346.687821928863,8392.257636273616,8389.416392855765,8304.988572005317,8379.01731950914,8436.541115157976
2025-05-01,8470.46129393364,8514.293711163744,8508.64837928985,8438.760667590948,8503.71220730087,8563.160502600851
2025-06-01,8647.221123201472,8686.418230336567,8679.569527441929,8625.560049160187,8679.93545237674,8736.511010433014
2025-07-01,8807.122611095707,8843.616979672779,8838.721827443962,8788.526093740387,8842.798616567005,8899.70309831907
2025-08-01,8972.29706435489,9006.82636391729,9002.65741821464,8955.189987679352,9009.527997478774,9066.266717992756
2025-09-01,9172.741805600339,9206.056656701116,9201.59833482408,9155.823084106385,9209.243320610796,9256.233750851321
2025-10-01,9397.231992150644,9430.198350322557,9425.450976324388,9376.74754555856,9431.741456636457,9478.06668443339
2025-11-01,9640.942675162532,9674.653829445624,9669.691429471282,9619.623800800957,9676.357510406466,9713.309940481477
2025-12-01,9927.442601352668,9960.227516753299,9956.688364251993,9901.821680086156,9962.105296881255,9984.573253185672
2026-01-01,10205.636122703283,10253.644690453175,10251.053056842116,10162.735922602507,10245.515579046045,10261.01862544787
2026-02-01,10496.889111740327,10553.01696421531,10546.077375469384,10451.090612417827,10536.645561884401,10529.438078035395
2026-03-01,10855.62959411201,10904.068559886877,10894.192127144524,10819.575375656348,10892.67486212662,10888.5734308529
