indice_tiempo,IPC oficial publicado,IPC promedio (canasta 2017/18 overall),Obreros formales (sec.),Asalariados informales jóvenes,Trabajadores mayores con primario,Profesionales asalariadas,Cuentapropistas y patrones
2022-11-01,1044.2910584031665,1015.5645529729351,1017.2151554259232,1020.9078631456177,1021.1007471123353,1010.8054126851033,1019.3690559922347
2022-12-01,1100.0916960311115,1067.2567594505826,1068.544695688051,1072.9490266770604,1073.112150974156,1062.333936769571,1071.6086664517427
2023-01-01,1165.6618597810746,1135.0474184978634,1136.0649030864897,1140.8560145713473,1141.6629452006134,1128.5605974620805,1139.365675932031
2023-02-01,1243.665867164135,1212.7678398787498,1213.5470051798834,1220.8802392209718,1222.0408577612232,1202.2005004013402,1217.3632794582618
2023-03-01,1340.8935674592599,1304.6154337184762,1305.9935407905841,1315.005266042021,1315.1844142127431,1293.821514095575,1309.603501902513
2023-04-01,1456.0202540641378,1416.7493855783846,1418.9352071225012,1429.9054200711112,1429.7396175609795,1402.868918768489,1421.890933317329
2023-05-01,1571.8117122185702,1529.3987334201895,1531.8549380274385,1542.1378658703466,1541.5593011525157,1516.8783175746303,1534.443241144626
2023-06-01,1663.3217849634302,1617.675503034036,1619.172367787474,1628.466958552231,1627.6856159010267,1607.4663998473575,1623.1167077864586
2023-07-01,1766.2368106758265,1716.9818780027117,1717.4429793163295,1726.6267763528733,1726.8949253102774,1706.5676749368013,1722.9647227315836
2023-08-01,1982.7740763771678,1925.150270654103,1922.0139690943877,1936.7545587887582,1937.5876216369434,1907.4003437834513,1932.3566658437555
2023-09-01,2224.2737852003197,2153.903708603328,2152.870967545359,2169.9620480179387,2170.4218435084554,2133.6597278208646,2161.905138423772
2023-10-01,2415.844955731249,2342.514010158891,2342.527812667925,2361.5531761000643,2361.5381826513067,2319.6047755407913,2349.5493650198496
2023-11-01,2727.621331911995,2641.543446413469,2637.8444929122506,2664.536260656607,2667.7546817800267,2605.3160789228145,2651.7936950234134
2023-12-01,3411.845074176068,3296.9714426058313,3285.712957015129,3328.1640606225023,3337.7787988531345,3234.7285841203898,3316.5440190936947
2024-01-01,4078.9227443664686,3944.030906624315,3927.403888033234,3978.030641527825,3993.9596200041033,3869.3114789486854,3972.4947116980848
2024-02-01,4689.69678126203,4573.237838372993,4561.6276340362665,4605.589550681479,4629.607286393946,4494.199827660471,4611.684589996445
2024-03-01,5228.176542003494,5108.6830238285465,5099.385659767249,5141.641549548443,5166.22051339868,5032.27265168099,5151.458534089917
2024-04-01,5710.589855201209,5649.728561669345,5637.144667993413,5680.139276355507,5695.06965490599,5571.396093491212,5675.690669608017
2024-05-01,5956.178476602213,5899.876091241955,5892.016225973119,5936.402310195033,5952.05207386111,5819.556447635515,5926.579275962943
2024-06-01,6215.486660152201,6168.867714750682,6159.710495271753,6199.850982642694,6211.759609189654,6096.805147213185,6191.1457944037875
2024-07-01,6466.417932545675,6408.252206789189,6393.519777340485,6437.383171975742,6450.032233242552,6333.141254482649,6430.5270339140325
2024-08-01,6733.983891504545,6675.747895256859,6661.484682589345,6700.477133776973,6712.954066645639,6607.6111877509675,6700.1472173316715
2024-09-01,6984.336659658682,6927.447792016406,6916.2124996739285,6951.941698339016,6960.8495043795465,6865.271360936493,6949.804825569008
2024-10-01,7181.313553048473,7114.66984401578,7101.703952803476,7135.621978197183,7141.973653784413,7058.969241838267,7134.928164541257
2024-11-01,7368.123241834709,7296.610264525294,7284.466359764109,7312.164892115903,7317.724166535402,7251.424732261927,7317.926424023709
2024-12-01,7579.258831541855,7517.108038699208,7505.3599030142705,7531.261203638318,7535.07799516284,7474.147317781073,7534.691737069327
2025-01-01,7732.618420143515,7661.253586658415,7644.59021798448,7673.401158649928,7677.044081902804,7618.52048914514,7679.1953452340285
2025-02-01,7905.428918302685,7847.64613078965,7829.263734866987,7862.480573887075,7865.86528558319,7797.492103741867,7863.927024046749
2025-03-01,8210.126045028772,8152.063820042853,8135.103713022013,8178.470878773155,8175.91979641865,8096.6968333755285,8167.507589788899
2025-04-01,8436.541115157976,8362.782063993798,8346.687821928863,8392.257636273618,8389.416392855765,8304.988572005317,8379.017319509141
2025-05-01,8563.160502600851,8489.615571234577,8470.46129393364,8514.293711163742,8508.648379289853,8438.760667590948,8503.71220730087
